case_id,algorithm,selected_item_ids_checksum,median_wall_runtime_seconds_level_03,median_used_container_count_level_03,median_total_container_cost_level_03,level_id_level_03,median_wall_runtime_seconds_level_04,median_used_container_count_level_04,median_total_container_cost_level_04,level_id_level_04,median_wall_runtime_seconds_level_05,median_used_container_count_level_05,median_total_container_cost_level_05,level_id,level_04_vs_03_runtime_ratio,level_05_vs_04_runtime_ratio,level_04_minus_03_containers,level_05_minus_04_containers
random_random_s101_i200,maximal_space_best_fit,4e2f532f16ebe2aa2e56946e8b4dd95ba949c69c2997705122e254ebba86b4aa,2.232346500008134,8.0,16000.0,level_03,1.9140020000049844,9.0,18000.0,level_04,2.6610846999974456,9.0,18000.0,level_05,0.8573946741681949,1.390324931734928,1.0,0.0
random_random_s101_i300,extreme_point_best_fit,5937519482888b254fd122cbb3ca6874d28ca0b65d67b0eff0e5bfa2fab5d2ec,4.780643100006273,12.0,24000.0,level_03,4.9107017000205815,13.0,26000.0,level_04,9.0337435999827,13.0,26000.0,level_05,1.0272052519490815,1.8396034114523465,1.0,0.0
random_random_s101_i300,extreme_point_ffd,5937519482888b254fd122cbb3ca6874d28ca0b65d67b0eff0e5bfa2fab5d2ec,4.193994399975054,12.0,24000.0,level_03,5.783898699999554,13.0,26000.0,level_04,7.47666760001448,13.0,26000.0,level_05,1.3790907064716054,1.2926691817778648,1.0,0.0
random_random_s101_i300,maximal_space_best_fit,5937519482888b254fd122cbb3ca6874d28ca0b65d67b0eff0e5bfa2fab5d2ec,2.98252560000401,11.0,22000.0,level_03,2.9728365000046324,12.0,24000.0,level_04,4.769832999998471,12.0,24000.0,level_05,0.9967513774234278,1.6044720252832734,1.0,0.0
random_random_s101_i50,extreme_point_best_fit,d8fca5cd578864e2bedf283611b1cb9fcd6c1b0a53182b845906ed575a26fa4a,0.5239326999871992,2.0,4000.0,level_03,0.6168288000044413,3.0,6000.0,level_04,1.137242700002389,3.0,6000.0,level_05,1.1773054058651269,1.8436926096741926,1.0,0.0
random_random_s101_i50,extreme_point_ffd,d8fca5cd578864e2bedf283611b1cb9fcd6c1b0a53182b845906ed575a26fa4a,0.5083282999985386,2.0,4000.0,level_03,0.5291259000077844,3.0,6000.0,level_04,0.8901406000077259,3.0,6000.0,level_05,1.040913716606582,1.6822850667386162,1.0,0.0
random_random_s101_i50,maximal_space_best_fit,d8fca5cd578864e2bedf283611b1cb9fcd6c1b0a53182b845906ed575a26fa4a,0.5273336000100244,2.0,4000.0,level_03,0.4944369999866467,3.0,6000.0,level_04,0.9622466000146233,3.0,6000.0,level_05,0.9376170985069938,1.9461460207076144,1.0,0.0
random_random_s101_i500,extreme_point_best_fit,d2120740bbda34b2323282cfb0072af260f5082835bae8f3c105e2338720d918,10.320979200012516,20.0,40000.0,level_03,13.497508500004187,21.0,42000.0,level_04,18.40770539999357,21.0,42000.0,level_05,1.307774023998403,1.3637854275096668,1.0,0.0
random_random_s101_i500,extreme_point_ffd,d2120740bbda34b2323282cfb0072af260f5082835bae8f3c105e2338720d918,8.941800800006604,20.0,40000.0,level_03,15.30288639999344,21.0,42000.0,level_04,13.933757399994647,21.0,42000.0,level_05,1.7113875316907237,0.9105313230320145,1.0,0.0
random_random_s101_i500,maximal_space_best_fit,d2120740bbda34b2323282cfb0072af260f5082835bae8f3c105e2338720d918,5.355111500015482,20.0,40000.0,level_03,7.256898199993884,21.0,42000.0,level_04,7.482674400001997,21.0,42000.0,level_05,1.355134846393563,1.0311119425663575,1.0,0.0
